x1,x2
470.58560686291196,144.07175440798483
-327.3729956107135,
-448.8328748927139,188.34257958262378
-104.37016632220684,
,-380.9079316240585
-452.50037420376646,
-148.18499645283327,
471.42470341566843,372.2373392725941
,255.66579418542472
308.07413386248777,
,314.222706286219
160.26709389321968,
-29.58454386434437,-487.127600465099
,448.8275971216542
,-125.84323859338531
-462.9734494303817,
-454.0004976497446,
,239.26252409312303
,-205.1685351850183
280.4576061324253,-444.81536436953377
-197.4016865827457,
,120.69866970977421
,-484.00485990837205
-412.7441020330556,
,-433.90455075006105
,-26.169923683432103
,-69.10000478720542
,-66.60401111232932
,-400.57324004799284
-16.86873999241766,
