x1,x2
470.58560686291196,144.07175440798483
-327.3729956107135,
-448.8328748927139,188.34257958262378
-104.37016632220684,
313.403486933443,
-452.50037420376646,
,43.134900478048394
471.42470341566843,372.2373392725941
507.4596179679379,
,-264.96642835017553
,314.222706286219
,-293.7588516088796
-29.58454386434437,-487.127600465099
170.25272904603491,
,-125.84323859338531
-462.9734494303817,
-454.0004976497446,
-298.8500086580027,
-317.0900616652657,
280.4576061324253,-444.81536436953377
-197.4016865827457,
-202.16466078826375,
,-484.00485990837205
,-192.4602458384045
177.78181813387414,
-375.1637443503329,
,-69.10000478720542
185.5482401579792,
,-400.57324004799284
,-173.01454089854246
