x1,x2,x3,x4,x5
-89.65848246794161,302.74444233806423,-125.78095343052922,297.8430230781404,
133.66430666795281,-340.71425597718144,-136.01011163869958,161.40946939741048,-37.24656937972827
354.38195419769306,,212.01493948197424,194.17564603443407,165.57349061740535
-237.08703139380748,-61.24807927327646,353.12019453014886,,-161.02551304835322
285.4229300228942,185.2846246235141,-241.36157491693479,290.4545070790185,-163.06612028682054
223.1233544706986,347.1207034502992,-122.89621043601409,,287.620074696815
23.902284383048254,-171.34846264548986,-425.9734113325472,-423.2446501445195,
-299.91363544558124,-105.21498982330144,-340.2066825193838,,-378.6141756790695
-22.46801471537941,-437.0091513250681,,474.1188987552882,417.1014130786209
-173.07913856588453,356.4362362728459,264.0535397792993,,-286.96014532777906
-251.70026393975454,,94.24978944233283,-254.14099147727364,-8.17625604956919
,138.49126612514556,-248.13879697392284,-384.0803751762551,-392.71767294463064
450.69419830391223,-464.82847998403844,-137.35184858638593,362.84059305529945,
378.3609468315242,141.45080302627593,,-473.69562972793756,251.87895179571524
-270.89565788438154,212.79683826598773,,-307.71317333099626,-313.27577437499406
,304.696448776496,357.8636209633428,-133.91904772268515,-187.6508945614803
-390.8741516642722,26.34248094341774,-285.0121387219548,64.36313235055104,435.07806064001534
57.04728936139486,-72.84317673337347,-154.8120364571398,50.07351406429825,10.56332099541811
1.547118727788245,-182.28077159836596,-280.6221228603232,162.47508157724383,
-408.2898887023523,,-340.97318678248826,68.77295699592412,-491.31221735132425
309.8343981743917,380.05701717952047,132.49238906965718,150.05934684212718,166.48625989964773
168.19868524819685,,-71.66275295842775,267.953927435336,378.2592699111616
-330.24769203493986,-429.6872280224593,-344.9225481903282,-181.59792736154765,
161.53761907637454,-398.8632438402131,-202.06593874476783,,-219.09643196834327
-317.6711795364249,,381.7139506336397,-437.7359837847373,470.6612747120888
,488.6324485225599,-137.03070139600328,184.66323994764207,252.34075337760078
408.80790582338614,334.875471003622,,-119.25252261314768,-40.09665955183186
,-384.02880341098677,25.530462182179804,365.9614044402522,-3.6587384391947353
402.6381799897051,192.38291652510475,245.77934995137582,,300.43499133313685
140.49170078449083,-58.36685936443365,187.50388498552672,200.80254215702587,
