x1,x2,x3,x4
-0.5121814012057886,-3.0798526583967556,,9.599234653726992
3.1068132231758927,6.63363853613118,-7.417617395581653,
7.498756915325679,7.683089765639032,3.2729281665870573,
,-2.089626463838239,7.144836613152609,3.1471610967207155
0.9670978195323254,8.001449434817054,9.160548771990413,
-2.8833928142634457,-4.554684760268886,,1.3119045449530091
8.926538091157575,-2.443687739273104,-3.6146928599359534,7.239132955293897
0.40887312856980174,5.697739337020655,8.857680898259467,8.454533479483644
0.8553258390321155,-8.922188588115816,,-1.709912700418176
-3.3834491813619483,3.139446549681855,-9.106790109827232,
9.810146139052137,-2.098855668044668,2.3259815975927705,
-9.768527571499375,-8.147715929055488,,4.55977215725648
7.0185710623812305,6.1221457030918245,,-2.8091863652274762
-0.5012051096375636,4.814900622502563,-9.003531753023541,4.029739878229092
-7.492275821802221,,7.898562941349098,-7.218161689422809
-9.769373927810905,,-0.6123755622323213,6.463017433086641
4.8881452323439145,9.1935382394437,,-4.038821117423483
,9.268608690650424,-6.845618175369223,9.36716888541029
-6.078297799245309,2.341232257384739,,-3.7305685688855084
,-8.332259637661377,-5.4760179862843295,-5.635238293250953
-2.581551282174816,-1.833229321226252,4.114044012174071,
3.0001574090255687,-5.492242573332753,7.92486690463743,-5.975596814375736
3.053465106237006,,-4.310454819121723,-3.2688509634376146
4.58612028861147,3.7792646629611077,,-6.153921232667965
,-5.260331426846532,7.194761008056997,-0.7344414539166433
9.831505387013632,-1.5610313503984514,4.482623870545643,
-8.063496460882993,-0.13489947108471512,3.835404163208471,
-2.0555475554378706,,-2.433601414941413,-2.8722476764521865
,-7.352603852527057,-0.06168897083552771,7.009716064618395
6.510967162283507,-6.025581182625926,,-8.623066579380655
-2.0083654604874557,-4.200788817056919,,4.4412233598497775
,3.441056588708772,1.5537137792187767,-5.404243409024314
-1.6805176622818756,-0.006494991486160728,,-4.818264620644874
-0.003948706787188172,5.697114418222881,-7.10821404595338,
-9.933892637981812,1.596319834703861,4.4718049871332255,
-5.513285912702206,,-9.878413086327523,-4.16651190994854
-3.318150279958987,-2.684169661340312,,-1.7661539453731478
4.198776771360421,-3.3969918368661833,,-1.3995611616966421
4.733960367749063,2.5762100885096206,-5.834290825439701,
-3.9667466809453416,-9.796977079285043,9.527752018567146,
,4.354714973101997,9.158230312360747,5.746488051317449
-8.532296927642147,6.444163635277512,7.617280669719641,7.478207335087678
-0.20922924110729824,8.423756128985495,2.0583521444412316,
-4.92739597381094,8.528675788253842,0.2729764750855139,
-2.7902749432271374,,6.98522040998979,-6.869070595054383
-4.003558736029387,5.657877250838126,-0.32100365391360697,
4.761765217558764,-4.473968626983458,-1.0014718048346118,
-9.125558526419162,-0.499598485386187,,3.093687765854769
2.9755182055286884,8.38033858906114,,7.748824541083671
1.3341887145904856,8.372908517912109,,-3.349591502588998
